datum;zeitstempel;rohstoff;kategorie;preis;einheit;preis_eur;quelle;symbol;notiz;status
2026-03-04;2026-03-04 07:43:57;Nickel;Basismetalle;17336.5;USD/T;14909.39;Trading Economics;nickel;LME;OK
2026-03-04;2026-03-04 07:43:57;Eisenerz;Rohstoffe;99.57;USD/T;85.63;Trading Economics;iron-ore;62% Fe, CFR China;OK
2026-03-04;2026-03-04 07:43:57;Kokskohle;Energietraeger;219.75;USD/T;188.98;Trading Economics;coking-coal;Premium Hard;OK
2026-03-04;2026-03-04 07:43:57;Kobalt;Basismetalle;56290.0;USD/T;48409.39;Trading Economics;cobalt;;OK
2026-03-04;2026-03-04 07:43:57;Mangan;Legierungen;32.95;CNY/mtu;;Trading Economics;manganese;Erz, CNY/mtu;OK
2026-03-04;2026-03-04 07:43:57;Silizium;Legierungen;8430.0;CNY/T;;Trading Economics;silicon;CNY/T;OK
2026-03-04;2026-03-04 07:43:57;Stahl HRC;Stahlpreise;3075.0;CNY/T;;Trading Economics;steel;Hot-Rolled Coil, CNY/T;OK
2026-03-04;2026-03-04 07:43:57;Wolfram;Legierungen;76.629;USD/mtu;65.9;Trading Economics;tungsten;APT;OK
2026-03-04;2026-03-04 07:43:57;Kupfer;Basismetalle;13050.25;USD/MT;11223.21;Yahoo Finance;HG=F;Originalwert: 5.9195 USD/lb;OK
2026-03-04;2026-03-04 07:43:57;Aluminium;Basismetalle;3280.5;USD/MT;2821.23;Yahoo Finance;ALI=F;Originalwert: 3280.5000 USD/MT;OK
2026-03-04;2026-03-04 07:43:57;Zink;Basismetalle;2297.0;USD/MT;1975.42;Yahoo Finance;ZNC=F;Originalwert: 2297.0000 USD/MT;OK
2026-03-04;2026-03-04 07:43:57;Blei;Basismetalle;5165.42;USD/MT;4442.26;Yahoo Finance;LE=F;Originalwert: 234.3000 USX/lb;OK
2026-03-04;2026-03-04 07:43:57;Kurs EUR/USD;Waehrung;1.162791;EUR/USD;;Yahoo Finance;EURUSD=X;;OK
2026-03-04;2026-03-04 07:43:57;Kurs CNY/USD;Waehrung;0.144699;CNY/USD;;Yahoo Finance;CNYUSD=X;;OK
2026-03-04;2026-03-04 07:43:57;Kurs JPY/USD;Waehrung;0.006354;JPY/USD;;Yahoo Finance;JPYUSD=X;;OK
2026-03-05;2026-03-05 07:45:48;Nickel;Basismetalle;;;;Trading Economics;nickel;LME;FEHLER
2026-03-05;2026-03-05 07:45:48;Eisenerz;Rohstoffe;;;;Trading Economics;iron-ore;62% Fe, CFR China;FEHLER
2026-03-05;2026-03-05 07:45:48;Kokskohle;Energietraeger;;;;Trading Economics;coking-coal;Premium Hard;FEHLER
2026-03-05;2026-03-05 07:45:48;Kobalt;Basismetalle;;;;Trading Economics;cobalt;;FEHLER
2026-03-05;2026-03-05 07:45:48;Mangan;Legierungen;;;;Trading Economics;manganese;Erz, CNY/mtu;FEHLER
2026-03-05;2026-03-05 07:45:48;Silizium;Legierungen;;;;Trading Economics;silicon;CNY/T;FEHLER
2026-03-05;2026-03-05 07:45:48;Stahl HRC;Stahlpreise;;;;Trading Economics;steel;Hot-Rolled Coil, CNY/T;FEHLER
2026-03-05;2026-03-05 07:45:48;Wolfram;Legierungen;;;;Trading Economics;tungsten;APT;FEHLER
2026-03-05;2026-03-05 07:45:48;Kupfer;Basismetalle;12912.46;USD/MT;11117.63;Yahoo Finance;HG=F;Originalwert: 5.8570 USD/lb;OK
2026-03-05;2026-03-05 07:45:48;Aluminium;Basismetalle;3340.0;USD/MT;2875.74;Yahoo Finance;ALI=F;Originalwert: 3340.0000 USD/MT;OK
2026-03-05;2026-03-05 07:45:48;Zink;Basismetalle;2297.0;USD/MT;1977.72;Yahoo Finance;ZNC=F;Originalwert: 2297.0000 USD/MT;OK
2026-03-05;2026-03-05 07:45:48;Blei;Basismetalle;5258.57;USD/MT;4527.63;Yahoo Finance;LE=F;Originalwert: 238.5250 USX/lb;OK
2026-03-05;2026-03-05 07:45:48;Kurs EUR/USD;Waehrung;1.16144;EUR/USD;;Yahoo Finance;EURUSD=X;;OK
2026-03-05;2026-03-05 07:45:48;Kurs CNY/USD;Waehrung;0.145071;CNY/USD;;Yahoo Finance;CNYUSD=X;;OK
2026-03-05;2026-03-05 07:45:48;Kurs JPY/USD;Waehrung;0.006338;JPY/USD;;Yahoo Finance;JPYUSD=X;;OK
2026-03-06;2026-03-06 07:44:10;Nickel;Basismetalle;17388.0;USD/T;14967.59;Trading Economics;nickel;LME;OK
2026-03-06;2026-03-06 07:44:10;Eisenerz;Rohstoffe;100.89;USD/T;86.85;Trading Economics;iron-ore;62% Fe, CFR China;OK
2026-03-06;2026-03-06 07:44:10;Kokskohle;Energietraeger;220.5;USD/T;189.81;Trading Economics;coking-coal;Premium Hard;OK
2026-03-06;2026-03-06 07:44:10;Kobalt;Basismetalle;56290.0;USD/T;48454.43;Trading Economics;cobalt;;OK
2026-03-06;2026-03-06 07:44:10;Mangan;Legierungen;32.95;CNY/mtu;;Trading Economics;manganese;Erz, CNY/mtu;OK
2026-03-06;2026-03-06 07:44:10;Silizium;Legierungen;8610.0;CNY/T;;Trading Economics;silicon;CNY/T;OK
2026-03-06;2026-03-06 07:44:10;Stahl HRC;Stahlpreise;3083.0;CNY/T;;Trading Economics;steel;Hot-Rolled Coil, CNY/T;OK
2026-03-06;2026-03-06 07:44:10;Wolfram;Legierungen;80.695;USD/mtu;69.46;Trading Economics;tungsten;APT;OK
2026-03-06;2026-03-06 07:44:10;Kupfer;Basismetalle;12908.05;USD/MT;11111.25;Yahoo Finance;HG=F;Originalwert: 5.8550 USD/lb;OK
2026-03-06;2026-03-06 07:44:10;Aluminium;Basismetalle;3249.25;USD/MT;2796.95;Yahoo Finance;ALI=F;Originalwert: 3249.2500 USD/MT;OK
2026-03-06;2026-03-06 07:44:10;Zink;Basismetalle;2297.0;USD/MT;1977.26;Yahoo Finance;ZNC=F;Originalwert: 2297.0000 USD/MT;OK
2026-03-06;2026-03-06 07:44:10;Blei;Basismetalle;5259.67;USD/MT;4527.52;Yahoo Finance;LE=F;Originalwert: 238.5750 USX/lb;OK
2026-03-06;2026-03-06 07:44:10;Kurs EUR/USD;Waehrung;1.16171;EUR/USD;;Yahoo Finance;EURUSD=X;;OK
2026-03-06;2026-03-06 07:44:10;Kurs CNY/USD;Waehrung;0.145014;CNY/USD;;Yahoo Finance;CNYUSD=X;;OK
2026-03-06;2026-03-06 07:44:10;Kurs JPY/USD;Waehrung;0.006345;JPY/USD;;Yahoo Finance;JPYUSD=X;;OK
